,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
110,2021-10-06,101.160004,103.230003,100.430000,103.169998,100.364006,1177400
111,2021-10-07,103.339996,104.620003,103.180000,103.459999,100.646118,1123800
112,2021-10-08,103.379997,103.940002,102.639999,103.190002,100.383461,942800
113,2021-10-11,102.919998,103.370003,101.889999,102.680000,99.887337,1073800
114,2021-10-12,102.949997,103.769997,102.400002,102.809998,100.013802,703200
115,2021-10-13,102.220001,103.040001,101.629997,102.559998,99.770599,1072600
116,2021-10-14,102.800003,103.790001,102.599998,103.480003,100.665581,809200
117,2021-10-15,103.809998,104.190002,102.209999,102.250000,99.469032,1543500
118,2021-10-18,101.419998,102.070000,100.260002,101.769997,99.002075,1284300
119,2021-10-19,102.000000,102.320000,101.639999,102.059998,99.284203,568700
120,2021-10-20,102.389999,104.680000,102.330002,104.050003,101.220078,641600
121,2021-10-21,104.040001,104.639999,103.839996,103.919998,101.093613,625100
122,2021-10-22,104.379997,105.190002,104.209999,104.610001,101.764847,661800
123,2021-10-25,104.480003,104.599998,103.699997,103.790001,100.967148,674900
124,2021-10-26,103.910004,104.900002,103.830002,103.900002,101.074150,643000
125,2021-10-27,104.360001,104.570000,102.949997,103.110001,100.305641,823700
126,2021-10-28,103.019997,103.660004,102.129997,102.800003,100.004074,796200
127,2021-10-29,102.639999,103.879997,102.220001,103.019997,100.218079,1557200
128,2021-11-01,102.989998,104.550003,102.690002,103.489998,100.675301,940400
129,2021-11-02,103.510002,103.910004,101.919998,103.800003,100.976875,1658900
130,2021-11-03,104.510002,106.190002,102.540001,103.360001,100.548843,1372900
131,2021-11-04,103.400002,104.000000,101.879997,102.900002,100.101349,1711200
132,2021-11-05,103.260002,104.620003,103.250000,104.250000,101.414635,1328300
133,2021-11-08,104.430000,104.430000,100.260002,101.080002,98.330849,1257000
134,2021-11-09,101.300003,102.489998,101.099998,102.320000,99.537132,1720000
135,2021-11-10,102.639999,103.500000,102.430000,103.440002,100.626663,1460400
136,2021-11-11,103.400002,104.510002,102.419998,103.129997,100.325089,1340100
137,2021-11-12,102.129997,102.379997,100.300003,101.599998,99.814232,1027200
138,2021-11-15,102.410004,105.070000,102.250000,105.040001,103.193779,1564900
139,2021-11-16,105.410004,106.040001,105.000000,105.320000,103.468849,1417900
140,2021-11-17,105.019997,105.959999,104.320000,105.779999,103.920769,915900
141,2021-11-18,105.879997,106.250000,104.919998,105.480003,103.626038,968300
142,2021-11-19,105.739998,106.190002,105.449997,105.949997,104.087776,1395300
143,2021-11-22,105.550003,107.589996,105.360001,107.300003,105.414055,1181500
144,2021-11-23,107.199997,107.320000,105.919998,106.300003,104.431625,1702700
145,2021-11-24,106.379997,106.730003,105.129997,106.400002,104.529869,1175900
146,2021-11-26,105.480003,106.330002,102.660004,103.089996,101.278038,898900
147,2021-11-29,104.000000,105.589996,103.349998,105.070000,103.223244,1260400
148,2021-11-30,104.400002,104.580002,100.330002,100.339996,98.576378,2155500
149,2021-12-01,101.309998,102.870003,100.330002,100.400002,98.635330,1124900
150,2021-12-02,100.879997,103.230003,100.879997,101.989998,100.197380,1150600
151,2021-12-03,102.779999,103.349998,101.209999,103.260002,101.445053,972800
152,2021-12-06,104.639999,106.930000,104.010002,104.919998,103.075882,1393800
153,2021-12-07,104.839996,105.529999,104.330002,104.849998,103.007111,802200
154,2021-12-08,105.029999,106.190002,104.529999,105.510002,103.655510,1053100
155,2021-12-09,105.589996,107.180000,105.000000,106.250000,104.382507,1430100
156,2021-12-10,106.680000,107.910004,106.339996,107.410004,105.522118,1944100
157,2021-12-13,107.250000,108.480003,106.430000,107.879997,105.983856,1198800
158,2021-12-14,108.029999,109.000000,107.029999,107.290001,105.404221,1103700
159,2021-12-15,107.029999,110.120003,107.029999,109.849998,107.919228,1089700
160,2021-12-16,110.089996,112.110001,109.739998,110.669998,108.724815,1298200
161,2021-12-17,109.449997,110.940002,109.199997,109.519997,107.595024,1892000
162,2021-12-20,108.550003,109.660004,106.839996,109.449997,107.526253,958000
163,2021-12-21,110.370003,111.230003,108.580002,109.269997,107.349419,1032800
164,2021-12-22,108.940002,109.980003,108.669998,109.980003,108.046951,513100
165,2021-12-23,110.120003,110.500000,109.820000,110.089996,108.155006,459800
166,2021-12-27,110.220001,110.900002,109.760002,110.830002,108.882004,436300
167,2021-12-28,110.970001,111.959999,110.839996,111.889999,109.923370,341000
168,2021-12-29,111.930000,112.540001,111.430000,112.489998,110.512825,465600
169,2021-12-30,112.620003,112.680000,111.160004,111.639999,109.677765,655700
170,2021-12-31,111.419998,113.080002,110.779999,112.650002,110.670021,551300
171,2022-01-03,112.650002,112.650002,110.440002,111.400002,109.441986,1030000
172,2022-01-04,111.389999,112.330002,110.849998,111.279999,109.324097,1097300
173,2022-01-05,110.860001,112.550003,110.860001,111.540001,109.579521,886600
174,2022-01-06,110.550003,111.010002,109.220001,109.650002,107.722748,1572300
175,2022-01-07,109.849998,112.809998,109.099998,112.129997,110.159149,1267800
176,2022-01-10,111.879997,113.099998,111.440002,111.699997,109.736710,1278200
177,2022-01-11,112.129997,112.129997,108.250000,108.739998,106.828735,1463100
178,2022-01-12,108.139999,109.419998,107.279999,109.239998,107.319954,1362600
179,2022-01-13,109.440002,111.519997,108.820000,110.639999,108.695343,1133800
180,2022-01-14,110.980003,111.510002,110.050003,111.070000,109.117783,1124600
181,2022-01-18,110.849998,111.220001,108.120003,109.839996,107.909401,1478300
182,2022-01-19,110.000000,111.160004,109.360001,110.349998,108.410439,955600
183,2022-01-20,110.629997,111.510002,109.900002,109.989998,108.056770,1027800
184,2022-01-21,110.879997,110.879997,109.320000,109.419998,107.496788,982700
185,2022-01-24,109.000000,109.449997,105.779999,108.190002,106.288414,2138400
186,2022-01-25,106.639999,108.800003,106.339996,107.669998,105.777542,1920200
187,2022-01-26,107.570000,108.809998,106.790001,107.279999,105.394394,1388700
188,2022-01-27,108.669998,110.580002,107.669998,109.589996,107.663795,1688900
189,2022-01-28,109.260002,111.250000,108.599998,111.160004,109.206207,1429400
190,2022-01-31,110.440002,112.230003,109.860001,111.769997,109.805481,1848700
191,2022-02-01,111.510002,111.949997,109.089996,110.010002,108.076416,1446000
192,2022-02-02,110.029999,112.239998,109.559998,112.010002,110.041267,1582800
193,2022-02-03,112.260002,112.589996,111.370003,111.970001,110.001968,1034900
194,2022-02-04,110.989998,111.959999,109.730003,110.900002,108.950775,1140100
195,2022-02-07,110.639999,111.080002,109.389999,109.660004,107.732574,1377500
196,2022-02-08,110.500000,110.639999,109.540001,109.980003,108.046951,1140800
197,2022-02-09,110.690002,111.760002,110.220001,111.470001,109.510757,1157800
198,2022-02-10,109.559998,110.139999,106.349998,106.449997,105.535210,1071000
199,2022-02-11,106.739998,107.940002,105.290001,105.820000,104.910629,1792800
200,2022-02-14,106.330002,106.750000,103.290001,104.500000,103.601974,1347400
201,2022-02-15,105.099998,105.610001,102.839996,103.430000,102.541168,1182600
202,2022-02-16,103.650002,104.559998,102.919998,103.959999,103.066612,1211700
203,2022-02-17,103.519997,105.540001,103.199997,104.949997,104.048103,1691200
